Schedule ID;Airline ID;Flight No;Status;Dep Date;Dep Time;Arr Date;Arr Time;Dep Airport;Arr Airport;Economy Seats;Business Seats;In Flight Menu;In Flight Services;Economy Price;Business Price
S1001;MAS1709;MH001;On-time;2023-11-01;07:30:00;2023-11-01;13:00:00;KUL;HKG;180;40;Chicken Rice,Beef Rice,Noodles;WiFi,Entertainment,Blanket;200;450
S1002;ZW1865;AK302;Delayed;2023-11-02;15:45:00;2023-11-02;21:20:00;KUL;SIN;150;30;Vegetarian Pasta,Seafood Curry;WiFi,Entertainment,Headphones;180;400
S1003;ME2098;ME105;On-time;2023-11-03;12:00:00;2023-11-03;18:30:00;BEY;IST;160;35;Salmon with Rice;WiFi,Entertainment,Blanket;190;420
S1004;APU8760;AP511;On-time;2023-11-04;09:20:00;2023-11-04;14:45:00;DEL;BOM;200;45;Vegetable Biryani,Paneer Tikka;WiFi,Entertainment,Headphones;220;480
S1005;MAS1709;MH202;Delayed;2023-11-05;11:30:00;2023-11-05;17:15:00;HKG;KUL;170;25;Sushi,Sashimi;WiFi,Entertainment,Blanket;190;400
S1006;ZW1865;AK405;On-time;2023-11-06;14:15:00;2023-11-06;20:45:00;SIN;KUL;139;20;Chicken Satay,Shrimp Fried Rice;WiFi,Entertainment,Headphones;160;350
S1007;ME2098;ME601;Delayed;2023-11-07;08:45:00;2023-11-07;14:30:00;IST;BEY;190;33;Hummus with Pita Bread,Falafel Wrap;WiFi,Entertainment,Blanket;210;460
S1008;APU8760;AP708;On-time;2023-11-08;16:00:00;2023-11-08;21:35:00;BOM;DEL;130;22;Vegetarian Pizza,Chocolate Cake;WiFi,Entertainment,Headphones;150;320
S1009;MAS1709;MH305;On-time;2023-11-09;10:10:00;2023-11-09;15:45:00;KUL;BKK;160;28;Fried Rice with Tofu,Beef Stir-Fry;WiFi,Entertainment,Blanket;180;400
S1010;ZW1865;AK510;Delayed;2023-11-10;18:30:00;2023-11-10;23:55:00;KUL;HND;180;32;Teriyaki Chicken,Tempura Udon;WiFi,Entertainment,Headphones;200;450
S1011;MAS1709;MH111;On-time;2023-11-11;07:30:00;2023-11-11;13:00:00;KUL;HKG;185;39;Beef Noodles,Seafood Curry;WiFi,Entertainment,Blanket;220;480
S1012;ZW1865;AK222;Delayed;2023-11-12;15:45:00;2023-11-12;21:20:00;KUL;SIN;155;28;Vegetarian Rice,Chicken Curry;WiFi,Entertainment,Headphones;190;420
S1013;ME2098;ME333;On-time;2023-11-13;12:00:00;2023-11-13;18:30:00;BEY;IST;165;36;Salmon Sushi,Chicken Satay;WiFi,Entertainment,Blanket;200;450
S1014;APU8760;AP444;On-time;2023-11-14;09:20:00;2023-11-14;14:45:00;DEL;BOM;205;46;Vegetable Stir-Fry,Spring Rolls;WiFi,Entertainment,Headphones;230;500
S1015;MAS1709;MH555;Delayed;2023-11-15;11:30:00;2023-11-15;17:15:00;HKG;KUL;175;26;Sushi Platter,Sashimi Deluxe;WiFi,Entertainment,Blanket;200;420
S1016;ZW1865;AK666;On-time;2023-11-16;14:15:00;2023-11-16;20:45:00;SIN;KUL;145;21;Chicken Teriyaki,Shrimp Tempura;WiFi,Entertainment,Headphones;170;380
S1017;ME2098;ME777;Delayed;2023-11-17;08:45:00;2023-11-17;14:30:00;IST;BEY;195;34;Hummus Platter,Falafel Burger;WiFi,Entertainment,Blanket;210;460
S1018;APU8760;AP888;On-time;2023-11-18;16:00:00;2023-11-18;21:35:00;BOM;DEL;135;24;Margherita Pizza,Chocolate Mousse;WiFi,Entertainment,Headphones;180;380
S1019;MAS1709;MH999;On-time;2023-11-19;10:10:00;2023-11-19;15:45:00;KUL;BKK;165;29;Tofu Stir-Fry,Beef Bulgogi;WiFi,Entertainment,Blanket;190;420
S1020;ZW1865;AK123;Delayed;2023-11-20;18:30:00;2023-11-20;23:55:00;KUL;HND;185;33;Teriyaki Salmon,Soba Noodles;WiFi,Entertainment,Headphones;210;460
S1021;MAS1709;MH234;On-time;2023-11-21;07:30:00;2023-11-21;13:00:00;KUL;HKG;180;40;Chicken Rice,Beef Rice,Noodles;WiFi,Entertainment,Blanket;200;450
S1022;ZW1865;AK345;Delayed;2023-11-22;15:45:00;2023-11-22;21:20:00;KUL;SIN;150;30;Vegetarian Pasta,Seafood Curry;WiFi,Entertainment,Headphones;180;400
S1023;ME2098;ME456;On-time;2023-11-23;12:00:00;2023-11-23;18:30:00;BEY;IST;160;35;Salmon with Rice;WiFi,Entertainment,Blanket;190;420
S1024;APU8760;AP567;On-time;2023-11-24;09:20:00;2023-11-24;14:45:00;DEL;BOM;200;45;Vegetable Biryani,Paneer Tikka;WiFi,Entertainment,Headphones;220;480
